,Unnamed: 0,Star_name,Distance,Mass,Radius
326,308,WISE 1746-0338,83.8,,2010.0
327,291,WISE 1523+3125,84.5,,2010.0
328,216,WISE 0321-7347,84.8,,2010.0
329,236,WISE 0539-1034,84.8,,2010.0
330,285,WISE 1433-0837,84.8,,2010.0
331,51,2MASS J04285096-2253227 [de],85.0,1.09,2003.0
332,226,WISE 0410+1411,85.8,,2010.0
333,279,WISE 1311+3629,86.1,,2010.0
334,189,WISE 0008-1739,87.1,,2010.0
335,7,2MASSW J0030300-145033,87.2,0.98,
336,44,2MASP J0345432+254023,88.0,1.05,1997.0
337,114,2MASSW J1146345+223053,89.0,,
338,148,SDSS J151114.66+060742.9 [de],89.0,,2006.0
339,163,SDSSp J175032.96+175903.9,90.0,0.97,
340,342,WISE 2335+4222,90.3,,2010.0
341,208,WISE 0226-0211,91.0,,2010.0
342,283,WISE 1348+6603,91.0,,2010.0
343,178,2MASSW J2206450-421721,93.0,1.33,
344,93,2MASSW J0920122+351742 [de],95.0,,2000.0
345,100,SDSS J102109.69-030420.1,95.0,,
346,240,WISE 0612-4920,95.2,,2010.0
347,15,2MASS J00584253-0651239 [de],96.0,1.43,
348,322,WISE 2014+0424,96.2,,2010.0
349,305,WISE 1728+5716,97.8,,2010.0
350,41,2MASS J03284265+2302051 [de],98.0,0.98,2000.0
351,233,WISE 0525+6739,98.2,,2010.0
